id	question	category
1	Hợp đồng lao động có thời hạn tối đa là bao lâu?	Luật Lao động
2	Người lao động có thể đơn phương chấm dứt hợp đồng khi nào?	Luật Lao động
3	Mức lương tối thiểu vùng hiện nay là bao nhiêu?	Luật Lao động
4	Quyền lợi của người lao động khi bị sa thải trái pháp luật?	Luật Lao động
5	Các trường hợp nào thì người sử dụng lao động không được sa thải người lao động?	Luật Lao động
6	Thời gian làm thêm giờ tối đa trong một năm là bao nhiêu?	Luật Lao động
7	Hợp đồng dân sự vô hiệu trong những trường hợp nào?	Luật Dân sự
8	Hậu quả pháp lý của hợp đồng dân sự vô hiệu là gì?	Luật Dân sự
9	Thời hiệu khởi kiện vụ án dân sự là bao lâu?	Luật Dân sự
10	Các hình thức sở hữu tài sản theo pháp luật Việt Nam?	Luật Dân sự
11	Ai là người giám hộ đương nhiên của người chưa thành niên?	Luật Dân sự
12	Quyền và nghĩa vụ của người thừa kế là gì?	Luật Dân sự
13	Doanh nghiệp có thể bị giải thể trong những trường hợp nào?	Luật Thương mại
14	Quyền và nghĩa vụ của thành viên trong công ty trách nhiệm hữu hạn?	Luật Thương mại
15	Có phải tất cả các loại hình doanh nghiệp đều được phép kinh doanh mọi ngành nghề không?	Luật Thương mại
16	Cần những thủ tục gì để thành lập một công ty cổ phần?	Luật Thương mại
17	Nghĩa vụ nộp thuế của doanh nghiệp được quy định như thế nào?	Luật Thương mại
18	Quy định về tranh chấp hợp đồng mua bán hàng hóa quốc tế?	Luật Thương mại
19	Có phải thỏa thuận trọng tài là bắt buộc trong mọi hợp đồng thương mại không?	Luật Thương mại
20	Tôi cần tìm quy định pháp luật về việc bồi thường thiệt hại ngoài hợp đồng.	Tổng hợp (Luật Dân sự/Thương mại)
